sample,hclust_cluster,kmeans_cluster,cluster_consensus
GSM330256,5,4,0.8948448896408081
GSM330257,3,3,0.9604153633117676
GSM330258,3,3,0.9607582688331604
GSM330259,3,3,0.9606539607048035
GSM330260,3,3,0.9604162573814392
GSM330261,3,4,0.322978138923645
GSM330262,3,4,0.8604393601417542
GSM330263,3,3,0.9619097709655762
GSM330264,3,3,0.9677104949951172
GSM330265,3,3,0.9640436768531799
GSM330266,3,3,0.9633898138999939
GSM330267,3,3,0.9622787833213806
GSM330268,3,3,0.8315873146057129
GSM330269,3,3,0.9628282785415649
GSM330270,3,3,0.9644841551780701
GSM330271,3,3,0.9621511101722717
GSM330272,3,3,0.9587910771369934
GSM330273,3,3,0.9655637741088867
GSM330274,3,3,0.9646238088607788
GSM330275,3,3,0.9635442495346069
GSM330276,3,3,0.962951123714447
GSM330277,3,3,0.9619748592376709
GSM330278,3,3,0.9643456339836121
GSM330279,3,3,0.9627540111541748
GSM330280,3,3,0.9622346758842468
GSM330281,3,3,0.9597017765045166
GSM330282,3,3,0.9606784582138062
GSM330283,3,3,0.9627401828765869
GSM330284,3,3,0.9623394012451172
GSM330285,3,3,0.9595389366149902
GSM330286,3,3,0.9628556370735168
GSM330287,3,3,0.96303391456604
GSM330288,3,3,0.9636991024017334
GSM330289,3,3,0.9612155556678772
GSM330290,3,3,0.9669146537780762
GSM330291,3,5,0.3670128583908081
GSM330292,3,3,0.9643963575363159
GSM330293,3,3,0.9607799053192139
GSM330294,3,3,0.9613842368125916
GSM330295,3,3,0.9620301127433777
GSM330296,3,3,0.9599500298500061
GSM330297,3,3,0.9651651978492737
GSM330298,3,3,0.8642598986625671
GSM330299,3,3,0.9608747363090515
GSM330300,3,3,0.9622328281402588
GSM330301,3,3,0.9642948508262634
GSM330302,3,3,0.9628056883811951
GSM330303,3,3,0.9613874554634094
GSM330304,3,3,0.9629844427108765
GSM330305,3,3,0.9608784914016724
GSM330306,3,3,0.9636223912239075
GSM330307,3,3,0.9634447693824768
GSM330308,3,3,0.9136086702346802
GSM330309,3,3,0.960172176361084
GSM330310,3,3,0.851050853729248
GSM330317,3,3,0.9635942578315735
GSM330318,3,3,0.9615309238433838
GSM330319,3,3,0.9617554545402527
GSM330320,3,3,0.961434543132782
GSM330321,3,3,0.8661064505577087
GSM330322,3,3,0.9613872170448303
GSM330323,3,3,0.9653905034065247
GSM330324,3,3,0.9646563529968262
GSM330325,3,3,0.9660636186599731
GSM330326,3,3,0.9646525979042053
GSM330327,3,3,0.9612155556678772
GSM330328,3,3,0.961933970451355
GSM330329,3,3,0.9632509350776672
GSM330330,3,3,0.9614112377166748
GSM330331,3,4,0.9127148985862732
GSM330332,3,4,0.13829807937145233
GSM330333,3,3,0.9610865712165833
GSM330334,3,3,0.9614838361740112
GSM330335,2,5,0.5701878666877747
GSM330336,3,3,0.9640929102897644
GSM330337,3,3,0.9620168805122375
GSM330338,3,3,0.9076497554779053
GSM330339,3,3,0.9603228569030762
GSM330340,3,3,0.9629732966423035
GSM330341,3,3,0.964881420135498
GSM330342,3,3,0.9610591530799866
GSM330343,3,3,0.961864173412323
