gene,representative_probe,n_probes_for_gene,mean_expression
MED6,207079_s_at,3,0.53811914
MED31,222867_s_at,3,0.4332516
MED30,227787_s_at,3,0.6829878
MED27,51176_at,3,0.51039535
SLC17A9,219559_at,3,0.5012685
FMNL2,226184_at,3,0.28607833
FMN1,1570156_s_at,3,0.25824732
FNDC5,226097_at,3,0.2666771
SLC17A1,206872_at,3,0.10796548
ABHD12,224742_at,3,0.4285216
ABHD11,221927_s_at,3,0.3673711
ZNF92,235170_at,3,0.5635999
SLC25A13,203775_at,3,0.42412502
SLC1A7,210923_at,3,0.22867054
SLC1A6,1554592_a_at,3,0.0982775
FLRT2,204358_s_at,3,0.22707747
FLYWCH1,223950_s_at,3,0.42600003
FLVCR2,222866_s_at,3,0.27517095
FLT4,229902_at,3,0.24423808
SLC16A5,206600_s_at,3,0.43873674
CHASERR,225951_s_at,3,0.82699454
PSMC2,201068_s_at,3,0.740177
PSMB4,202244_at,3,0.7904195
KIF2A,203087_s_at,3,0.50442904
KIF26B,220002_at,3,0.20775954
KIF25-AS1,207963_at,3,0.16532771
TNR,206990_at,3,0.25253665
CGGBP1,224599_at,3,0.7011935
CGAS,242077_x_at,3,0.48673066
PSMA3-AS1,225724_at,3,0.63120204
PSMA3,201532_at,3,0.6572354
PSMA1,211746_x_at,3,0.780252
KIF20B,205235_s_at,3,0.45187473
KIN,205664_at,3,0.51374453
PSG9,209594_x_at,3,0.25337076
TNPO3,212318_at,3,0.60558623
KIAA1549L,235486_at,3,0.17093149
KIAA1549,238885_at,3,0.24702652
KIF1C,238477_at,3,0.29079455
KIF1A,203849_s_at,3,0.22149844
TOM1L2,226198_at,3,0.4243976
CFDP1,203166_at,3,0.5963493
CFC1,223753_s_at,3,0.15201446
PSG6,208106_x_at,3,0.20049524
TONSL,1558329_at,3,0.31573752
CFAP92,1554852_a_at,3,0.26925847
CFAP70,229170_s_at,3,0.25346383
CFAP69,1554919_s_at,3,0.21531585
CFAP65,1556969_at,3,0.08649694
CFAP61,1554657_a_at,3,0.19803865
TNFSF10,202688_at,3,0.474199
TNFRSF9,207536_s_at,3,0.23312217
PSD3,203355_s_at,3,0.34712604
KIF5C,1557089_at,3,0.18231395
KIF5B,201991_s_at,3,0.76721936
CHIC1,228345_at,3,0.37766138
CHI3L1,209396_s_at,3,0.39780608
CHORDC1,218566_s_at,3,0.59624153
CHN2,213385_at,3,0.31469908
TNFRSF14-AS1,232190_x_at,3,0.41619474
CHFR,218803_at,3,0.6002928
CHERP,202230_s_at,3,0.62104744
TNIP2,48531_at,3,0.57452077
TNFSF8,235735_at,3,0.4029894
CHD4,201184_s_at,3,0.65289354
CHCHD5,223479_s_at,3,0.44972736
PSMB1,214288_s_at,3,0.8076337
KIAA1656,1569365_a_at,3,0.15815684
CHM,227871_at,3,0.43661293
KICS2,1554067_at,3,0.35503924
KIAA2013,224706_at,3,0.5386757
KIAA1958,235112_at,3,0.35099512
KIAA1671,225525_at,3,0.25827637
TNC,216005_at,3,0.1441425
TNFRSF19,227812_at,3,0.15679057
CFL2,224352_s_at,3,0.42569527
TOB2,222243_s_at,3,0.48212686
TNXA,213451_x_at,3,0.21887767
CFAP100-DT,237272_at,3,0.21283248
CFAP47,1553466_at,3,0.24607132
CFAP46,1555573_at,3,0.09417395
PSG1,210195_s_at,3,0.21026213
PSEN2,204262_s_at,3,0.23699977
PSD4,203317_at,3,0.50610435
PTAR1,226110_at,3,0.588
TNFRSF10A,231775_at,3,0.4210178
KIF5A,223933_at,3,0.26607567
KIRREL1,225303_at,3,0.1803181
TOP3A,214299_at,3,0.3857935
TOP2A,201291_s_at,3,0.48232782
TP53TG1,210886_x_at,3,0.45711127
PRXL2A,228155_at,3,0.41623494
PRUNE2,212805_at,3,0.32005903
PRTG,229073_at,3,0.17158936
KIR2DL4,208426_x_at,3,0.21775587
KLC3,1570402_at,3,0.22965924
TNFAIP8,208296_x_at,3,0.66400236
CHMP3,222437_s_at,3,0.63148034
CHMP2B,202536_at,3,0.5968771
CHRNA10,220210_at,3,0.2039952
CHRNA3,210221_at,3,0.18853056
CHST5,221164_x_at,3,0.31535336
CHST3,32094_at,3,0.22970721
TMX4,201581_at,3,0.68328524
PTAFR,227184_at,3,0.48662204
KDM2A,208988_at,3,0.58136976
KHDRBS1,200040_at,3,0.7823906
KHDC1,230055_at,3,0.26341155
TMTC4,225666_at,3,0.4038228
TMTC3,226604_at,3,0.32737514
CHPT1,221675_s_at,3,0.69195014
KCTD20,228299_at,3,0.6921956
TNFRSF13C,243780_at,3,0.55161357
PSME4,212219_at,3,0.5928174
KDM8,220070_at,3,0.25227585
KIAA0930,217118_s_at,3,0.52929527
TP53INP1,225912_at,3,0.684836
CEP78,228774_at,3,0.51285577
CES3,220335_x_at,3,0.35882533
CHST15,203066_at,3,0.523595
CHST11,219634_at,3,0.5583937
CIBAR1,235391_at,3,0.3260925
PTGDR,215894_at,3,0.27137086
TMPRSS6,214955_at,3,0.29255134
TMPRSS3,223949_at,3,0.16006508
TOMM22,222474_s_at,3,0.5876495
TOR4A,219620_x_at,3,0.37945223
CEP192P1,235416_at,3,0.14476714
PRRT1,230054_at,3,0.23685062
PRRC2B,212069_s_at,3,0.5077637
PRRC2A,212081_x_at,3,0.53940403
CFAP251,1555007_s_at,3,0.2832237
CIAO1,217501_at,3,0.5271775
PTCRA,211252_x_at,3,0.43379593
KCP,1556956_at,3,0.26303396
KCNT1,1569461_at,3,0.1567375
KDELR3,207265_s_at,3,0.24633399
KDELR2,200700_s_at,3,0.6365071
KCTD7,213474_at,3,0.40765166
KCTD5,218474_s_at,3,0.49679193
KCNQ1,204487_s_at,3,0.3984855
TMLHE,222744_s_at,3,0.38841566
CFAP157,1557866_at,3,0.27746966
TOR1A,202348_s_at,3,0.52370083
TP73,232546_at,3,0.22182901
PRR5,47069_at,3,0.41820535
KLF13,225390_s_at,3,0.67911506
PRRX1,205991_s_at,3,0.23361456
PTCD1,218956_s_at,3,0.39267102
PTGR1,231897_at,3,0.30723658
TPI1,213011_s_at,3,0.75220174
KLF8,230986_at,3,0.27267066
KLHL28,228328_at,3,0.44847673
PRR11,232215_x_at,3,0.76917
TPH1,1553859_at,3,0.1614694
CES2,209667_at,3,0.51882577
CEP290,205250_s_at,3,0.4301306
CEP250,209495_at,3,0.4096387
CEP44,228334_x_at,3,0.48687205
CEP97,235918_x_at,3,0.38175452
CEP95,225705_at,3,0.5596671
TP53I11,203421_at,3,0.31495404
TMEM86A,242103_at,3,0.2290595
TMEM80,221951_at,3,0.4784373
CEP164,1558953_s_at,3,0.49336457
TMEM65,241370_at,3,0.49587622
KCNK7,224055_x_at,3,0.24183138
CHTOP,202560_s_at,3,0.6264169
TMEM74,1555159_at,3,0.19466704
TMEM70,219449_s_at,3,0.65642095
TMOD1,213161_at,3,0.4626494
TMEM64,225974_at,3,0.4043044
CIITA,205101_at,3,0.45000684
CISH,223377_x_at,3,0.40058434
CISD2,226689_at,3,0.5663464
TMEM53,1554077_a_at,3,0.32506317
PTGIS,208131_s_at,3,0.19448803
PTGIR,1563431_x_at,3,0.3662657
CIAPIN1,208968_s_at,3,0.59384024
PTCD2,1555910_at,3,0.3166031
KCNK3,228127_at,3,0.29070237
KCNS2,1554212_s_at,3,0.19128567
KCNQ3,206573_at,3,0.2515874
KCNQ2,210508_s_at,3,0.13496871
KCNJ3,207141_s_at,3,0.17478496
CIP2A,231855_at,3,0.30463406
CINP,218267_at,3,0.41028163
CKLF,219161_s_at,3,0.6580789
CEP126,235956_at,3,0.24698785
CEP112,213644_at,3,0.22201924
CEP104,204074_s_at,3,0.40175074
CEP63,219242_at,3,0.49766943
CENPU,218883_s_at,3,0.6626114
TPMT,203672_x_at,3,0.41516015
CENPJ,223513_at,3,0.46954918
CENPF,207828_s_at,3,0.5072238
KLHL42,225732_at,3,0.44347513
KLHL36,227319_at,3,0.50521445
PRPF38A,223230_at,3,0.60649276
PRPF31,202408_s_at,3,0.62295645
PRPF18,221547_at,3,0.55918396
CLDN19,1554804_a_at,3,0.38213748
TMEM38B,218772_x_at,3,0.4141647
PTGER1,231201_at,3,0.22612126
PTGDS,211748_x_at,3,0.38893476
PTHLH,210355_at,3,0.20801449
KCNH6,221023_s_at,3,0.20868301
KCNH5,1555304_a_at,3,0.15569358
KCNK10,220727_at,3,0.20497215
KCNE4,222379_at,3,0.13400306
KCNE3,227647_at,3,0.44273502
CKAP4,200999_s_at,3,0.63541096
CKAP2,218252_at,3,0.53420156
CITED2,207980_s_at,3,0.63283247
CLCC1,213628_at,3,0.43818906
TMEM267,219029_at,3,0.46438622
CELSR1,41660_at,3,0.32934368
CELF5,232416_at,3,0.23053598
CENPV,226611_s_at,3,0.45647687
CELA1,224198_at,3,0.17746738
TPST2,204079_at,3,0.58212966
TPTEP1,233469_at,3,0.24604501
TPCN1,217914_at,3,0.43459746
PRR14,45687_at,3,0.64227986
CEACAM3,208052_x_at,3,0.32514215
KLHL14,228377_at,3,0.3168893
KLHL8,226874_at,3,0.49285755
KLHL7,223250_at,3,0.4554354
KLHL18,212882_at,3,0.47261405
KLK13,217315_s_at,3,0.20277782
KLK12,234316_x_at,3,0.25800872
KMT2B,203419_at,3,0.4992796
KMO,211138_s_at,3,0.325048
KLRD1,210606_x_at,3,0.30129138
CECR2,223729_at,3,0.3311497
CEBPZOS,229746_x_at,3,0.4695617
PRPF4B,202127_at,3,0.6270704
KLHL35,1553611_s_at,3,0.20591836
KLKB1,226745_at,3,0.37456506
KLK8,206125_s_at,3,0.17119947
KLK3,231629_x_at,3,0.34519848
CLEC12A,1552398_a_at,3,0.448915
CLEC11A,211709_s_at,3,0.5916832
CLDND1,1554149_at,3,0.5791499
PTPN9,202958_at,3,0.36582276
PTPN5,233470_at,3,0.11820863
TMEM232,1568698_at,3,0.16825508
PTPMT1,223808_s_at,3,0.58323395
PTPA,208874_x_at,3,0.508591
KAZALD1,217511_at,3,0.23044413
KATNB1,203162_s_at,3,0.5523766
KATNAL2,1554234_at,3,0.17379776
KCNC4,228436_at,3,0.29885802
KCNC3,230531_at,3,0.24530125
TMEM218,226073_at,3,0.4883226
CLDN23,228707_at,3,0.12293309
PTPN18,213521_at,3,0.5884211
PTPN12,202006_at,3,0.65763456
CLCNKB,1554749_s_at,3,0.21705563
CLCN7,38069_at,3,0.6181425
CLNK,1562587_at,3,0.22373432
PTP4A3,209695_at,3,0.39826596
CLINT1,201769_at,3,0.72310346
CLIC4,201560_at,3,0.6320527
TRADD,205641_s_at,3,0.5016097
CEACAM7,206199_at,3,0.15117916
TRABD2B,241707_at,3,0.20248522
TRABD,232706_s_at,3,0.57624966
CDON,227526_at,3,0.18960069
TRAPPC2L,218354_at,3,0.600382
PRKXP1,235987_at,3,0.2523887
KNOP1,213235_at,3,0.37490508
KNG1,217512_at,3,0.11890574
TRAM2,202369_s_at,3,0.501835
TMEM229B,227544_at,3,0.22722082
TMEM223,220934_s_at,3,0.4624186
KBTBD2,223584_s_at,3,0.5660335
JTB,210434_x_at,3,0.80273336
TMEM204,219315_s_at,3,0.315792
TRAM1,201398_s_at,3,0.7565573
CDKN2A,209644_x_at,3,0.44821966
CDYL,203099_s_at,3,0.44601855
CDV3,212010_s_at,3,0.79220957
CDK16,208823_s_at,3,0.4593476
CDK15,239201_at,3,0.1905131
CDK14,204604_at,3,0.501862
CDK11B,212401_s_at,3,0.69206434
CDKL5,227004_at,3,0.22987327
CDKL3,219831_at,3,0.26438385
CDKL1,235512_at,3,0.27656794
CDK9,203198_at,3,0.45438683
TMEM199,225374_at,3,0.4461223
CLN5,214252_s_at,3,0.50171626
KAT5,206689_x_at,3,0.50111073
TRAF7,223031_s_at,3,0.49615777
TRAPPC4,217958_at,3,0.6196755
CDK5RAP2,233540_s_at,3,0.4935567
CDK3,229468_at,3,0.4836419
CDK2,204252_at,3,0.4676605
PRKCQ-AS1,232001_at,3,0.42455307
PRMT5,1564521_x_at,3,0.5145839
KMT5B,222759_at,3,0.55036116
KMT2E,223190_s_at,3,0.70854414
PTPRS,226571_s_at,3,0.32075688
PTPRO,211600_at,3,0.84912676
KAT14,228544_s_at,3,0.4015625
KBTBD7,223412_at,3,0.40213218
KBTBD4,218570_at,3,0.53303856
PRKDC,208694_at,3,0.57405746
KPNA5,227934_at,3,0.48494285
PRKD2,38269_at,3,0.6583113
CDK8,204831_at,3,0.47463274
TRBV19,213193_x_at,3,0.6239476
CMPK1,217870_s_at,3,0.72463727
CMKLR1,210659_at,3,0.17442742
CLRN1,1555695_a_at,3,0.14079449
CLPTM1L,223020_at,3,0.64826715
TMEM178B,231143_at,3,0.18497188
PTPRJ,227396_at,3,0.5340495
PTPRE,221840_at,3,0.6228224
PUM1,201166_s_at,3,0.7253293
JMJD4,230810_at,3,0.22284803
KANK2,218418_s_at,3,0.4699881
CLYBL,238440_at,3,0.31074828
TMEM174,240114_s_at,3,0.31222063
TMEM170A,227586_at,3,0.5721274
CLTC,200614_at,3,0.72304785
TRERF1,229016_s_at,3,0.37360355
TREML4,1564052_at,3,0.20588546
KRT10,213287_s_at,3,0.7067272
PRKAG2-AS1,229156_s_at,3,0.2967716
TRDN,1552791_a_at,3,0.125628
TRDMT1,206308_at,3,0.35488883
TRIB1,202241_at,3,0.6659743
KRCC1,218303_x_at,3,0.54477817
TRAPPC13,236526_x_at,3,0.42584783
TRAPPC12,203122_at,3,0.47300854
TRAPPC11,218179_s_at,3,0.49655634
PRKN,1555668_a_at,3,0.20095204
PRKG1,228396_at,3,0.15961911
CDC73,218578_at,3,0.47140402
CDC42SE2,224709_s_at,3,0.7667071
CMTM4,225009_at,3,0.30414507
CMTM3,224733_at,3,0.6414844
CNKSR2,229116_at,3,0.19518736
PUS10,229362_at,3,0.27256432
JAM3,212813_at,3,0.34319904
JPT2,212115_at,3,0.48519555
JPH3,220188_at,3,0.15739931
JPH2,229578_at,3,0.15161802
CMBL,234981_x_at,3,0.7695143
CNDP2,217752_s_at,3,0.6174188
IWS1,224768_at,3,0.5865971
CLXN,1568930_at,3,0.13715719
CLUAP1,204576_s_at,3,0.32529587
TMEM164,220486_x_at,3,0.52019733
JARID2,203298_s_at,3,0.6704955
PUM2,216221_s_at,3,0.63771355
PXMP4,219428_s_at,3,0.4359228
TMEM134,218531_at,3,0.5011846
CDH19,206898_at,3,0.16392969
TRIM27,212118_at,3,0.5089396
TRIM42,1566851_at,3,0.16612788
TRIM23,204732_s_at,3,0.38938
CDC37L1,219343_at,3,0.36103112
CDK10,203468_at,3,0.4809941
CDIN1,224486_s_at,3,0.27684656
CDHR5,219796_s_at,3,0.11522443
PRKACB,202741_at,3,0.6133537
PRKAB2,225278_at,3,0.4701572
PRKCI,209678_s_at,3,0.50888497
PRKCH,218764_at,3,0.53992164
CNOT1,200860_s_at,3,0.637868
CNN3-DT,230433_at,3,0.20954241
TMEM132B,236468_at,3,0.24199834
PWWP2B,227999_at,3,0.44858137
JAK2,205842_s_at,3,0.4031143
JADE2,212660_at,3,0.5389773
CDCP1,218451_at,3,0.17903733
CD55,201925_s_at,3,0.64769936
CD53,203416_at,3,0.7722335
PRH1,236637_at,3,0.14198102
PREP,204117_at,3,0.40803027
PRELP,37022_at,3,0.29101944
PRELID3B,222441_x_at,3,0.6307791
TMEM127,219460_s_at,3,0.53795373
CNGB1,210769_at,3,0.21874693
JCAD,213316_at,3,0.15391687
PQBP1,214527_s_at,3,0.5707265
ITPRID2,202506_at,3,0.5731632
CNOT8,202164_s_at,3,0.6370659
CNOT3,203239_s_at,3,0.4275884
TMED2,200087_s_at,3,0.77103907
TMED10,212352_s_at,3,0.7128846
TMCO5A,1553637_s_at,3,0.26238817
TMEM116,227172_at,3,0.36559692
CDC42EP4,218062_x_at,3,0.36343163
TRIM15,36742_at,3,0.23525967
TRIM31,210159_s_at,3,0.1499475
TRIM29,202504_at,3,0.24756445
PRDM1,228964_at,3,0.3985304
PRDM6,232374_s_at,3,0.23064975
CD80,207176_s_at,3,0.27556133
CD79B,205297_s_at,3,0.5484575
CD9,201005_at,3,0.55182564
CD86,210895_s_at,3,0.4015578
TRIM66,229466_at,3,0.38526118
CD28,206545_at,3,0.2969387
CD276,224859_at,3,0.30920598
CD46,208783_s_at,3,0.6781312
TRIM62,58308_at,3,0.34431535
TRIM56,231876_at,3,0.5061331
TRIM50,231014_at,3,0.12102415
CDC25C,205167_s_at,3,0.28165618
CDC25A,204695_at,3,0.331944
CDC16,209659_s_at,3,0.6364482
PPP4R4,220672_at,3,0.14699854
PPP4R3A,223160_s_at,3,0.64064246
PRB1,211531_x_at,3,0.20682515
KRTAP5-AS1,1562681_at,3,0.28504446
COG1,227784_s_at,3,0.43634626
CD74,209619_at,3,0.83843434
TRIM44,217759_at,3,0.6365278
PPTC7,225213_at,3,0.7166925
PPP6R3,222467_s_at,3,0.6350416
CD300A,209933_s_at,3,0.51513785
LACTB,226354_at,3,0.5160952
L2HGDH,220089_at,3,0.24691153
KYAT1,206037_at,3,0.3306281
KXD1,200076_s_at,3,0.57615393
PPP3CA,202429_s_at,3,0.62173826
COCH,1554241_at,3,0.46607655
TMC8,227353_at,3,0.67072916
PWP1,201606_s_at,3,0.6468436
PYGO1,215517_at,3,0.14102335
ITSN2,209898_x_at,3,0.6896827
ITGB2,202803_s_at,3,0.7096686
ITGB1BP1,203336_s_at,3,0.5813389
ITPK1,210740_s_at,3,0.622545
COL13A1,211809_x_at,3,0.20051542
PPP2R3C,218852_at,3,0.6382721
TRIM7,223694_at,3,0.21184598
TRIM69,1568592_at,3,0.44388455
LAMB4,216622_at,3,0.15527016
PPP2CA,208652_at,3,0.7320454
PPP1R7,213465_s_at,3,0.6053616
PPP1R3F,229365_at,3,0.23860306
PPP1R3E,229001_at,3,0.41572788
PPP4R2,225519_at,3,0.65906423
CNTNAP5,1553013_at,3,0.17343411
COG5,203630_s_at,3,0.4751127
COG3,223450_s_at,3,0.469877
QSOX1,201482_at,3,0.46695834
PYROXD1,213878_at,3,0.51192856
PYM1,242304_at,3,0.5436022
COL4A4,229779_at,3,0.20090717
TRMO,47530_at,3,0.41912436
TRIP12,201546_at,3,0.63336545
LANCL2,218219_s_at,3,0.45238036
PPP2R3A,207749_s_at,3,0.19897492
TRMT61A,221907_at,3,0.44155356
TRMT44,1554192_s_at,3,0.32358587
TRMT1L,223404_s_at,3,0.3968399
TM9SF1,209150_s_at,3,0.47338527
TM7SF3,222477_s_at,3,0.5811366
TM6SF2,233403_x_at,3,0.20965084
TMEFF2,224321_at,3,0.55799526
TMED8,225343_at,3,0.64929736
PPP1R12A,201603_at,3,0.6381574
TRNT1,222754_at,3,0.42854857
COL4A6,213992_at,3,0.11982152
COMMD4,209132_s_at,3,0.45952904
RAB14,200927_s_at,3,0.57011026
RAB11A,200863_s_at,3,0.71925974
ITGA11,222899_at,3,0.181022
ITGA1,226731_at,3,0.18867265
QTRT2,219178_at,3,0.43443236
CD209,1555729_a_at,3,0.29121596
LACC1,228937_at,3,0.29259744
LARP7,212785_s_at,3,0.5874018
LARP6,236565_s_at,3,0.16638468
TRMT10A,230243_at,3,0.26197478
TRMT1,210463_x_at,3,0.5220056
TRPC1,205803_s_at,3,0.16409634
TM2D3,221702_s_at,3,0.6137458
RAB29,218699_at,3,0.5174776
COL25A1,224388_s_at,3,0.17215395
COL22A1,242326_at,3,0.21358009
COL1A2,202403_s_at,3,0.30546165
COL8A1,221152_at,3,0.14214449
COL6A6,242641_at,3,0.14696789
COL11A1,204320_at,3,0.13763763
COL5A1,212488_at,3,0.28181157
CD164,208405_s_at,3,0.78684795
CD163,203645_s_at,3,0.32356685
CD109,226545_at,3,0.3393761
CCNL2,222999_s_at,3,0.6908081
LARGE1,215543_s_at,3,0.21588695
LCA5,244401_at,3,0.2682692
PPP1R12C,223152_at,3,0.45008028
ISCA1,209273_s_at,3,0.6442683
RAB12,236019_at,3,0.5186346
RAB11FIP3,203933_at,3,0.41555515
RAB11FIP1,219681_s_at,3,0.6124821
RAB31,217764_s_at,3,0.56986207
PPP1R16B,41577_at,3,0.5287126
PPIL6,1560910_at,3,0.24659225
PPOX,204788_s_at,3,0.5133038
PPME1,49077_at,3,0.4883757
LAYN,228080_at,3,0.13731728
PPP1R3B,222662_at,3,0.37206334
PPP1R37,229262_at,3,0.23375164
TRPM1,206479_at,3,0.09786844
TSEN2,219581_at,3,0.31117022
TSEN15,225399_at,3,0.5332418
TSC22D3,208763_s_at,3,0.8193903
RAB27B,228708_at,3,0.3611254
IRAG1,226047_at,3,0.27373374
IQSEC2,237652_at,3,0.28722173
IRS1,204686_at,3,0.26217785
IRF6,202597_at,3,0.15798089
IRF5,239412_at,3,0.411773
COPB1,201358_s_at,3,0.76575726
PPM1H,212686_at,3,0.27451992
CCNJ,229091_s_at,3,0.44525468
CCNI,208655_at,3,0.82223207
LCORL,240592_at,3,0.4784445
LEF1,221558_s_at,3,0.6065787
PPFIA2,1558295_a_at,3,0.14590666
TLL2,215843_s_at,3,0.10671302
IRF4,204562_at,3,0.40143335
ISG20L2,212766_s_at,3,0.50431883
RAB23,223463_at,3,0.25722453
TSHR,215442_s_at,3,0.12066832
CCNB2,202705_at,3,0.5334271
LDAH,219008_at,3,0.34150165
TSPEAR,1552570_at,3,0.2332699
CCDC85B,204610_s_at,3,0.56469977
CCDC85A,233846_at,3,0.17552526
TSPAN5,209890_at,3,0.36776584
TSFM,212656_at,3,0.48679775
TSEN54,1558304_s_at,3,0.5156881
TSPAN2,227236_at,3,0.3783089
TSPAN16,242179_s_at,3,0.22222528
TLR3,239587_at,3,0.17985971
TLN2,212703_at,3,0.22953275
TLN1,203254_s_at,3,0.43725857
COPS7B,219997_s_at,3,0.4250172
TLCD5,1554076_s_at,3,0.24994293
IPO11,222659_at,3,0.3838081
IQGAP1,200791_s_at,3,0.68918
CORIN,239260_at,3,0.11864073
TSPAN12,230626_at,3,0.20345931
CCDC97,225257_at,3,0.48846748
CCL5,1405_i_at,3,0.62561417
CCL28,224240_s_at,3,0.3651914
CCDC90B,218288_s_at,3,0.5658763
CCDC88C,227228_s_at,3,0.5097371
TSPYL1,221493_at,3,0.73995954
COQ7,209746_s_at,3,0.34487233
TKT,208700_s_at,3,0.787708
TLE6,222219_s_at,3,0.23168783
IRAK3,220034_at,3,0.43077654
IRAK2,231779_at,3,0.3785874
TINCR,229385_s_at,3,0.23471412
TINAG,231154_x_at,3,0.1374249
CCDC7,220749_at,3,0.18444495
CCDC65,1552320_a_at,3,0.22732452
TTC28-AS1,244189_at,3,0.4440462
POMGNT1,217944_at,3,0.36738244
LETM1,222006_at,3,0.4315855
LGR4,218326_s_at,3,0.24645273
TSPY1,217162_at,3,0.13346007
TSNARE1,231317_at,3,0.27446464
TSN,201515_s_at,3,0.6629801
TTC12,1554531_at,3,0.20327403
POU3F3,228780_at,3,0.18620323
PPDPF,233571_x_at,3,0.77655715
LEISA1,239141_at,3,0.112564705
TSSK6,224409_s_at,3,0.1447798
INTS7,222250_s_at,3,0.37974003
RAB40C,227698_s_at,3,0.5453592
RAB40B,204547_at,3,0.31379366
TTC14,225180_at,3,0.61775863
POM121,213360_s_at,3,0.73247194
POLRMT,203782_s_at,3,0.44383934
POLR3H,225678_at,3,0.4252578
POLR3G,206654_s_at,3,0.3080284
PON2,201876_at,3,0.40419865
LHX4,232781_at,3,0.25258473
TTC39C,238480_at,3,0.47545734
TTC39B,242477_at,3,0.22026034
IPW,213447_at,3,0.4303972
RAB35,221819_at,3,0.54028213
RAB6B,221792_at,3,0.28153324
RAB5IF,217835_x_at,3,0.77387357
CPSF6,202469_s_at,3,0.6842327
CPSF2,225986_x_at,3,0.4358488
CPSF1,201639_s_at,3,0.6111491
TIFA,226117_at,3,0.60914785
CPEB2,226939_at,3,0.49556756
TINF2,224809_x_at,3,0.6383706
RABEP2,74694_s_at,3,0.55874383
INPP5F,203607_at,3,0.484759
INPP5D,203332_s_at,3,0.65054977
INPP5B,213804_at,3,0.44469494
INTS15,47083_at,3,0.5629641
RAB8B,226633_at,3,0.6879175
TIMM22,222841_s_at,3,0.4092717
COX11,211727_s_at,3,0.6237479
RAB5A,209089_at,3,0.69826156
RAB4A,203581_at,3,0.5352886
TIGD4,1552522_at,3,0.17132731
CPPED1,239135_at,3,0.42570594
CPNE8,228365_at,3,0.26623785
RAD17,207405_s_at,3,0.5493759
INSL3,1553594_a_at,3,0.40826607
INSIG1,201626_at,3,0.63122773
TTC39A,210652_s_at,3,0.14887528
TTC38,218272_at,3,0.30003303
CCDC198,1569434_at,3,0.22118694
CCDC197,1570111_at,3,0.18101726
CCDC61,228472_at,3,0.25196207
TTLL9,232357_at,3,0.15634774
LHFPL3-AS1,1554302_s_at,3,0.16209206
LILRB1,229937_x_at,3,0.48981848
POLR2D,203664_s_at,3,0.50904083
POLR2C,214263_x_at,3,0.5830167
THY1,208850_s_at,3,0.2134808
TIMP2,231579_s_at,3,0.62308484
INO80B,222093_s_at,3,0.34830284
RABL6,225377_at,3,0.5536912
RABL3,226090_x_at,3,0.4056253
RABGGTB,209181_s_at,3,0.73577803
RAD54L2,226624_at,3,0.41651922
RAD54B,235846_at,3,0.2775013
CCDC18,236665_at,3,0.39219177
CCDC174,225559_at,3,0.43686476
CCDC32,225397_at,3,0.45220605
POLR3A,227872_at,3,0.37511745
POLR2M,212243_at,3,0.54103416
LIMK2,202193_at,3,0.41433966
LIMK1,204357_s_at,3,0.28759804
CCDC150,232398_at,3,0.22478731
CRACDL,228067_at,3,0.21071906
CRACD,227230_s_at,3,0.24785061
CPXM2,226824_at,3,0.30759403
ILRUN,217925_s_at,3,0.46086976
INHBA,227140_at,3,0.25721648
RAD50,208393_s_at,3,0.40275633
CCDC186,229399_at,3,0.48430273
TTC6,1556665_at,3,0.21740977
TTC5,226557_at,3,0.32658327
TUBB,212320_at,3,0.7625305
CCDC144NL-AS1,1564360_a_at,3,0.12413245
TUBA1A,213646_x_at,3,0.84640145
TUB,210737_at,3,0.1783127
TTLL4,203702_s_at,3,0.30823424
CCDC14,225017_at,3,0.59778756
CCDC136,226972_s_at,3,0.2956897
POLR1D,218258_at,3,0.7474802
LIMA1,217892_s_at,3,0.34970635
LINC-PINT,228702_at,3,0.5886938
LIN9,235039_x_at,3,0.25933805
CREBL2,201989_s_at,3,0.48409232
CREB3L2,212345_s_at,3,0.60528517
CRK,202225_at,3,0.47202492
RALGAPA1P1,214855_s_at,3,0.4238952
RALBP1,202844_s_at,3,0.6117194
RAI1,226143_at,3,0.57160074
IL6R,226333_at,3,0.48593438
THRSP,1553583_a_at,3,0.26454434
THRB,207044_at,3,0.19852945
THPO,211831_s_at,3,0.15258913
CRACR2A,228752_at,3,0.48539925
CRHR1,214619_at,3,0.20054717
CRIM1,202552_s_at,3,0.36314958
CROT,204573_at,3,0.41583997
CROCCP2,211038_s_at,3,0.6239242
CROCC,206274_s_at,3,0.36184928
RAE1,201558_at,3,0.6691073
RANBP1,202483_s_at,3,0.664841
IL31RA,243541_at,3,0.16749844
THEM4,229253_at,3,0.3314455
CCDC168,1566665_at,3,0.16525403
TTLL10,1552419_s_at,3,0.30326563
POLK,223261_at,3,0.5133717
POLR3B,219459_at,3,0.40577435
POLR2B,1555837_s_at,3,0.692811
POLR2A,202725_at,3,0.6226459
POLR1H,228009_x_at,3,0.6130202
POLR1E,218997_at,3,0.45682302
PNKD,225298_at,3,0.5292221
PNPLA8,223310_x_at,3,0.66220737
TUBB4B,213726_x_at,3,0.7306971
TULP4,218184_at,3,0.3810573
CBR4,213626_at,3,0.44930652
LIN7C,223350_x_at,3,0.59831244
POLR1A,222704_at,3,0.289423
TTTY7,233151_s_at,3,0.11720352
POGK,218229_s_at,3,0.5043461
POF1B,219756_s_at,3,0.13458821
POLG,203366_at,3,0.5542065
